source	target	typeEdge
1	3	studentOf
4	3	studentOf
5	3	studentOf
6	3	studentOf
5	10	studentOf
11	10	studentOf
2	10	studentOf
11	12	studentOf
6	12	studentOf
12	10	colleagueOf
10	12	colleagueOf
7	8	colleagueOf
8	7	colleagueOf
7	9	colleagueOf
9	7	colleagueOf
9	8	colleagueOf
8	9	colleagueOf
9	13	colleagueOf
13	9	colleagueOf
14	15	colleagueOf
15	14	colleagueOf
14	16	colleagueOf
16	14	colleagueOf
16	15	colleagueOf
15	16	colleagueOf
16	17	colleagueOf
17	16	colleagueOf
9	3	studentOf
3	9	advisorOf
7	3	studentOf
3	7	advisorOf
8	12	studentOf
12	8	advisorOf
13	10	studentOf
10	13	advisorOf
